9,-49,228
9,-48,789
9,-47,310
25,-46,311
26,-46,234
-50,-43,282
-67,-42,247
-50,-42,224
-68,-41,201
-67,-41,322
-66,-41,274
-62,-41,281
-50,-41,252
-49,-41,309
-44,-41,274
-43,-41,294
-42,-41,277
-41,-41,270
-38,-41,201
-37,-41,310
-36,-41,232
-34,-41,252
-33,-41,221
-7,-41,208
-76,-40,207
-73,-40,242
-72,-40,251
-71,-40,219
-68,-40,312
-67,-40,338
-66,-40,338
-65,-40,244
-62,-40,319
-57,-40,226
-50,-40,218
-44,-40,251
-43,-40,302
-42,-40,278
-41,-40,218
-39,-40,206
-38,-40,262
-37,-40,284
-36,-40,360
-35,-40,335
-34,-40,262
-33,-40,268
-32,-40,248
-29,-40,208
-28,-40,220
-25,-40,268
-23,-40,244
-22,-40,295
-19,-40,233
-14,-40,232
-11,-40,213
-72,-39,331
-71,-39,307
-70,-39,242
-69,-39,211
-68,-39,356
-67,-39,309
-66,-39,268
-65,-39,314
-64,-39,209
-63,-39,277
-62,-39,279
-43,-39,221
-42,-39,238
-41,-39,268
-40,-39,230
-38,-39,243
-37,-39,291
-36,-39,316
-35,-39,397
-34,-39,448
-33,-39,356
-32,-39,214
-26,-39,276
-25,-39,245
-24,-39,255
-23,-39,285
-22,-39,326
-21,-39,317
-20,-39,303
-19,-39,344
-18,-39,217
-17,-39,223
-16,-39,285
-15,-39,218
-14,-39,267
-13,-39,235
-12,-39,231
-11,-39,240
-10,-39,233
-77,-38,231
-76,-38,388
-75,-38,282
-73,-38,283
-72,-38,488
-71,-38,440
-70,-38,331
-69,-38,299
-68,-38,337
-67,-38,385
-66,-38,274
-65,-38,440
-64,-38,478
-63,-38,389
-62,-38,351
-60,-38,219
-59,-38,420
-52,-38,214
-42,-38,379
-41,-38,418
-40,-38,284
-39,-38,242
-38,-38,440
-37,-38,292
-36,-38,326
-35,-38,409
-34,-38,343
-33,-38,296
-32,-38,334
-29,-38,305
-28,-38,338
-27,-38,242
-26,-38,353
-25,-38,473
-24,-38,329
-23,-38,397
-22,-38,431
-21,-38,466
-20,-38,615
-19,-38,461
-18,-38,333
-17,-38,264
-16,-38,415
-15,-38,299
-14,-38,361
-13,-38,366
-12,-38,316
-11,-38,473
-10,-38,331
-9,-38,207
-4,-38,226
