311,92,-86,213
312,93,-86,222
313,108,-86,224
314,109,-86,204
315,92,-85,224
316,94,-85,253
317,108,-85,229
318,110,-85,221
319,-111,-84,203
320,93,-84,235
321,94,-84,256
322,109,-84,205
323,111,-84,255
324,93,-83,252
325,95,-83,251
326,110,-83,223
327,93,-82,236
328,94,-82,211
329,111,-82,203
330,104,-78,255
331,105,-77,255
332,106,-77,231
333,105,-76,217
334,106,-76,212
335,105,-75,324
336,106,-75,256
337,107,-75,201
338,113,-75,217
339,105,-74,363
340,106,-74,258
341,107,-74,242
342,108,-74,251
343,114,-74,222
344,105,-73,233
345,106,-73,508
346,107,-73,300
347,108,-73,252
348,109,-73,208
349,105,-72,239
350,106,-72,419
351,107,-72,403
352,108,-72,236
353,109,-72,237
354,110,-72,207
355,105,-71,220
356,106,-71,416
357,107,-71,358
358,108,-71,325
359,109,-71,255
360,110,-71,286
361,111,-71,226
362,105,-70,209
363,106,-70,456
364,107,-70,322
365,108,-70,418
366,109,-70,257
367,110,-70,280
368,111,-70,298
369,104,-69,204
370,105,-69,428
371,106,-69,392
372,107,-69,371
373,108,-69,453
374,109,-69,266
375,110,-69,291
376,111,-69,295
377,112,-69,226
378,104,-68,280
379,105,-68,366
380,106,-68,400
381,107,-68,414
382,108,-68,524
383,109,-68,288
384,110,-68,293
385,111,-68,316
386,112,-68,263
387,104,-67,260
388,105,-67,236
389,106,-67,345
390,107,-67,412
391,108,-67,677
392,109,-67,521
393,110,-67,513
394,111,-67,394
395,112,-67,299
396,113,-67,218
397,114,-67,217
398,105,-66,246
399,106,-66,364
400,107,-66,839
401,108,-66,448
402,109,-66,352
403,110,-66,368
404,111,-66,412
405,112,-66,398
406,113,-66,229
407,114,-66,221
408,115,-66,216
409,105,-65,410
410,106,-65,385
411,107,-65,278
412,108,-65,300
413,109,-65,326
414,110,-65,365
415,111,-65,358
416,112,-65,388
417,113,-65,339
418,114,-65,208
419,105,-64,314
420,106,-64,315
421,107,-64,239
422,108,-64,241
423,109,-64,302
424,110,-64,389
425,111,-64,367
426,112,-64,351
427,113,-64,354
428,114,-64,247
429,-109,-63,211
430,-96,-63,513
431,-95,-63,678
432,105,-63,329
433,106,-63,463
434,107,-63,440
435,108,-63,321
436,109,-63,396
437,110,-63,395
438,111,-63,372
439,112,-63,371
440,113,-63,309
441,114,-63,438
442,115,-63,216
443,-110,-62,208
444,-96,-62,690
445,-95,-62,297
446,103,-62,266
447,104,-62,304
448,105,-62,322
449,106,-62,241
450,107,-62,391
451,108,-62,223
452,109,-62,325
453,110,-62,583
454,111,-62,561
455,112,-62,263
456,113,-62,373
457,-96,-61,277
458,104,-61,290
459,105,-61,323
460,106,-61,454
461,107,-61,329
462,108,-61,259
463,109,-61,249
464,110,-61,320
465,111,-61,482
466,112,-61,453
467,113,-61,297
468,114,-61,230
469,93,-60,239
470,94,-60,226
471,104,-60,578
472,105,-60,460
473,106,-60,258
474,107,-60,413
475,108,-60,454
476,109,-60,332
